display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Daniel Krauze,El Financiero,"Gray and Zach are not round characters, but necessary evils, included for the sole purpose of having someone threatened by the carnivore ... [Full review in Spanish]",|,"Jan 12, 2018"
Uri Klein,Haaretz,"A massive disappointment, Jurassic World fails to emulate its three predecessors in Spielberg's horror series.",|,"Jan 12, 2018"
Hugo Hernández Valdivia,Cinexcepción,"Although this is not particularly extraordinary, it advances the story with good rhythm and clarity. [Full review in Spanish]","| Original Score: 6/10
                
                |","Dec 12, 2017"
Robert Kojder,Flickering Myth,It's only until the final 30 minutes where things really heat up and ultimately conclude with a battle that is admittedly freaking awesome,"| Original Score: 3/5
                
                |","Dec 3, 2017"
Matthew Bond,The Mail on Sunday (UK),"You never find yourself thinking ""Wow, great visual effects,"" and that's because the underlying story is so cleverly constructed and strong, particularly when it comes to pacing and the tying of the new film to the original.",|,"Oct 30, 2017"
Brooke Corso,"The Monitor (McAllen, TX)",We have a film that has done the unthinkable: made a gazillion dollars despite a convincing argument that it puts full blame on its own audience for what it has become.,"| Original Score: C
                
                |","Aug 16, 2017"
Sr. Rose Pacatte,National Catholic Reporter,"Jurassic World is about evolution in a test tube in a lab run by a corporation for profit with military application of the ""assets."" What comes next is anyone's guess.",|,"Aug 10, 2017"
Abby Olcese,Sojourners,"This latest sequel to Jurassic Park doesn't know what it wants to be, and therein lies the problem.",|,"Jun 26, 2017"
Danielle Riendeau,Polygon,"Taken entirely on its own merits, Jurassic World is big and exciting and well-paced, the tension is wisely doled out so that action and disaster never feel far away, and once the... really starts to hit the fan, the movie fully comes into its own.",|,"Jun 2, 2017"
Aramide Tinubu,Shadow and Act,"Jurassic World is a visually striking thrill, packed with enough adventure to leave even the most cynical 21st century viewer in awe. Though the storyline itself brings little originality, its cheesiness is oddly endearing.",|,"Apr 12, 2017"
Sonny Bunch,Washington Free Beacon,Messy nostalgia trip could bring back turtleneck sweaters.,"| Original Score: 2/4
                
                |","Jul 14, 2016"
Max Weiss,Baltimore Magazine,"The whole thing is an elaborate fantasy, so it seems a bit churlish to say, ""that's not believable!"" But even a film like this needs some internal logic.","| Original Score: 2/4
                
                |","Jun 10, 2016"
Ed Power,Irish Independent,"As is the vogue among the current generation of blockbusters, it feels like the entire point here is to evoke memories of older, better movies. By those admittedly narrow standards, Jurassic World constitutes a roaring, stomping triumph.",|,"Jun 1, 2016"
Mark Jackson,Epoch Times,Die-hard fans insist no new 'Jurassic' movie could ever touch the original. Oh yeah? Come again? 'Jurassic World' just completely blew the doors off 'Jurassic Park.',"| Original Score: 4/5
                
                |","May 29, 2016"
Paul Whitington,Irish Independent,"For long periods, to be fair, Jurassic World is easy to watch and pretty entertaining, especially when Chris Pratt is on the screen.","| Original Score: 3/5
                
                |","May 24, 2016"
Dee O'Donoghue,Film Ireland Magazine,"Narratively continuous to the original film but slightly disregarding its two sequels, Jurassic World is a spectacular rush of furious energy, spellbinding awe and alarming terror from beginning to end.","| Original Score: 4/5
                
                |","May 12, 2016"
Russell Baillie,New Zealand Herald,"This new one is easily the best sequel of the bunch. It's frequently exciting, happily, forgivably ludicrous if a little too pumped-up for its own good and less than memorable.","| Original Score: 3.5/5
                
                |","May 6, 2016"
J. Olson,Cinemixtape,So adeptly does it roll sugar rush and brain freeze into one that it might as well come served in a paper cone.,"| Original Score: 4/5
                
                |","Apr 14, 2016"
Bill Newcott,AARP Movies for Grownups,"What could possibly go wrong? Luckily for viewers, everything-and almost immediately.","| Original Score: 4 of 5
                
                |","Apr 11, 2016"
Marija Djurovic,Cairo360,"This is a top popcorn movie, so to speak, but just lacks the sheer magnitude in ingenuity of the original.","| Original Score: 2.5/5
                
                |","Apr 6, 2016"
Edmund Lee,South China Morning Post,This fourth instalment does well to supplement the 3D spectacle with lively characters and good humour.,"| Original Score: 4/5
                
                |","Apr 2, 2016"
Martin Roberts,Fan The Fire,"If its primary function is ultimately to remind all the oldies how brilliant Jurassic Park was, and simultaneously to inspire a new generation of kids to go and check it out, then that's surely a good thing.","| Original Score: 3/5
                
                |","Feb 26, 2016"
Eileen Jones,The Jacobin,"The price you pay for delightful dinosaur carnage is, as always, dwelling in the Spielberg-patented world of regressive gender roles and worship of the white middle-class nuclear family.",|,"Feb 26, 2016"
Jared Mobarak,The Film Stage,"The film may not match the brilliance of the original, but it definitely rekindles some of those feelings as an entertaining bright spot this summer season.","| Original Score: B
                
                |","Feb 22, 2016"
Kyle Anderson,Nerdist,"It is not much like the first one, but if you like a very well-designed and well-directed piece of dino-damaged cheese, then I think you'll have a good time. I certainly did.","| Original Score: 3/5
                
                |","Jan 2, 2016"
Marie Asner,Phantom Tollbooth,"As far as acting, the cast does well.","| Original Score: 3/5
                
                |","Jan 1, 2016"
Alex Zane,The Sun (UK),"This was never going be as good as Spielberg's masterpiece and, surprise, surprise, it isn't. It's simply a solid summer blockbuster and the second best of the series.","| Original Score: 3/5
                
                |","Jan 1, 2016"
Jasper Rees,The Arts Desk,"Jurassic World is intensely conscious of its Spielbergian forebear, doffing its cap in multiple nods and winks.","| Original Score: 4/5
                
                |","Jan 1, 2016"
Violet LeVoit,AllMovie,"[Director Trevorrow's] vision for Jurassic World is enchanting, gratifying, and sure-handed in a way that's uncannily like Spielberg's early period.","| Original Score: 4.5/5
                
                |","Dec 3, 2015"
Margot Harrison,Seven Days (VT),"In short, this film could have used a Rise of the Planet of the Apes treatment.","| Original Score: 3/5
                
                |","Dec 1, 2015"
Dennis Schwartz,Dennis Schwartz Movie Reviews,It works as an entertaining lightweight thriller especially engineered for the theme park crowd.,"| Original Score: B-
                
                |","Nov 20, 2015"
Katherine Monk,Ex-Press.com,Some things change. Others evolve. And some things are cooked up in a lab as genetically modified sequels to something original.,"| Original Score: 3.5/5
                
                |","Nov 16, 2015"
John Beifuss,"Commercial Appeal (Memphis, TN)","'Jurassic World' is a film that critiques its own mission. It is aware that moviegoers, awash in blockbusters and computer-generated movie 'magic,' are increasingly hard to awe.","| Original Score: 3.5/4
                
                |","Nov 5, 2015"
Alex Leadbeater,What Culture,The least awful sequel.,"| Original Score: 3/5
                
                |","Nov 5, 2015"
Jeff Beck,The Blu Spot,"Jurassic World is a massive disappointment with a multitude of flaws, from the retreaded story and endless, monotonous action sequences, to the flat, lifeless characters and the uninspired CGI dinosaurs.","| Original Score: 2/5
                
                |","Oct 21, 2015"
Nick Dent,Daily Telegraph (Australia),It's a retread of Jurassic Park with extra corn and less suspense.,"| Original Score: 2.5/5
                
                |","Oct 20, 2015"
Nandini Ramnath,Scroll.in,"Events move at a fast clip, the paleontology talk is kept to a minimum, the computer-generated effects are beautifully realised, and the characters perform their parts with the required efficiency.",|,"Oct 20, 2015"
Alex Abad-Santos,Vox,Jurassic World is the reason summer movies exist.,"| Original Score: 4/5
                
                |","Oct 20, 2015"
Matthew Turner,WOW247,"Overall, this is an enormously entertaining thriller that will delight both newcomers and die-hard fans of the first film alike.",|,"Oct 20, 2015"
Cameron Meier,Orlando Weekly,"The fourth installment in the Jurassic series is spectacular summer entertainment, a sort of Cecil B. DeMille on speed.","| Original Score: 3.5/5
                
                |","Sep 25, 2015"
Beth Accomando,KPBS.org,Here's the deal: The dinosaurs still take our breath away but the film does not.,|,"Sep 11, 2015"
Tom Meek,Cambridge Day,"Crichton's cautious, forward-looking book had Frankenstein underpinnings: Don't mess with Mother Nature, or the past. The curators of the park do both, the filmmakers do the latter.","| Original Score: 2.5/4
                
                |","Sep 11, 2015"
Rob Carnevale,Indie London,Jurassic World is a surprisingly thrilling blockbuster experience that should leave fans roaring with approval.,"| Original Score: 4/5
                
                |","Aug 26, 2015"
Pablo Villaça,Cinema em Cena,"Se há alguém que sai como o grande destaque de Jurassic World, este é seu diretor.","| Original Score: 4/5
                
                |","Aug 25, 2015"
Scott Weinberg,TheHorrorShow,"When it's focused on chases, scrapes, escapes, and all-out dino-frenzy ACTION, there's a good deal of fun to be had.",|,"Aug 22, 2015"
Helen O'Hara,GQ Magazine [UK],Trevorrow never quite finds the moments that made the first film so transcendent.,"Full Review
                
                
                |","Aug 14, 2015"
Clem Bastow,Junkee,Oh boy is 11-year-old me equal parts pleased and relieved that 33-year-old me can report that Colin Trevorrow's entry into the series is a hoot.,|,"Aug 14, 2015"
Steve Biodrowski,Cinefantastique,"After two miserable sequels, the world had no reason to expect anything good from another Jurassic Park movie...yet, in spite of every ill omen, Jurassic World turns out to be the most enjoyable blockbuster in recent memory.","| Original Score: 4/5
                
                |","Aug 7, 2015"
Josh Terry,Deseret News (Salt Lake City),"It's a fun summer ride, but it won't keep you coming back over and over.",|,"Aug 5, 2015"
Iain McNally,Starburst,Definitely worth the price of admission.,"| Original Score: 8/10
                
                |","Jul 29, 2015"
Glenn Dunks,Glenn Dunks,"When the script isn't simply recreating famous scenes from the original with less engaging characters who speak a lot and yet say so very little, it's blindly ignoring plot holes and conjuring up half-baked ideas...","| Original Score: B-
                
                |","Jul 2, 2015"
Matthew Toomey,ABC Radio (Australia),"Credibility issues aside, Jurassic World is worth seeing for the pure spectacle.","| Original Score: B+
                
                |","Jul 2, 2015"
Fr. Chris Carpenter,Movie Dearest,See the movie for its reptilian stars but try to ignore the humans. The retro gender politics employed are disappointing.,"| Original Score: B-
                
                |","Jun 29, 2015"
John Rico,About.com,"Dinosaurs escape, people get eaten. Same old story but with bigger dinosaurs; fun but fleeting.","| Original Score: 1-5
                
                |","Jun 28, 2015"
David Nusair,Reel Film Reviews,The best of the Jurassic Park sequels by a hair...,"| Original Score: 3/4
                
                |","Jun 26, 2015"
Nick Rogers,Midwest Film Journal,"This isn't an annoyingly self-reflexive shredding of its forefather. It's very much its own smart, sleek endeavor with momentum, confidence ... and minor drawbacks. In all, it's pulpy summer fun with more on its mind than first glance may reveal.","| Original Score: 4/5
                
                |","Jun 25, 2015"
Norman Wilner,NOW Toronto,"Jurassic World functions precisely the same way as a theme park does, gliding the spectator through a series of calibrated set pieces.","Full Review
                
                
                    | Original Score: 3/5
                
                |","Jun 25, 2015"
J. R. Jones,Chicago Reader,"The characters are all paper-thin, but that doesn't matter because their sole purpose is to get chomped.",|,"Jun 25, 2015"
Rich Cline,Contactmusic.com,"With studios afraid of anything new or original, it's not surprising that the dinosaurs are back on-screen nearly 15 years after the rather disappointing Jurassic Park III.","| Original Score: 3.5/5
                
                |","Jun 24, 2015"
Mark R. Leeper,Mark Leeper's Reviews,re-used dinosaurs and re-used plot. But most of us can always enjoy watching the dinosaurs.,"| Original Score: 6/10
                
                |","Jun 23, 2015"
Gary Dowell,Dark Horizons,The darn thing is truly scary as hell.,|,"Jun 23, 2015"
Wesley Lovell,Cinema Sight,"It's certainly exciting and entertaining, but there is now splendor or awe-inspiring inventiveness.","| Original Score: 3/4
                
                |","Jun 22, 2015"
Jules Brenner,Cinema Signals,"A pitch against genetic modification of animals, ancient or otherwise? An indictment of corporate greed at any cost to others? To the extent it's seen that way, the purposes of entertainment override the ""messages.""","| Original Score: 4/5
                
                |","Jun 21, 2015"
Bob Grimm,Reno News and Review,It's a little stupid and a lot of fun. It's also a big success so that means we will be getting more movies with crazy dinosaurs in them. Hooray!!!,"| Original Score: 3.25/5
                
                |","Jun 20, 2015"
Tim Brayton,Antagony & Ecstasy,"The best sequel yet to the 1993 Jurassic Park... It is not, however, particularly good or interesting on its own merits.","| Original Score: 6/10
                
                |","Jun 20, 2015"
Brian Miller,Seattle Weekly,Dim writing [with] stock characters.,|,"Jun 19, 2015"
Kelly Vance,East Bay Express,Not the most stimulating S'berg project.,|,"Jun 19, 2015"
Bruce Bennett,"Spectrum (St. George, Utah)",A respectable Rex - unembarassingly nostalgic and freshly inspired.,"| Original Score: B
                
                |","Jun 19, 2015"
Christopher Lawrence,Las Vegas Review-Journal,"Jurassic World combines enough nostalgia, technical wizardry and nonsensically thrilling moments to make fans of the original feel like kids again.","| Original Score: B
                
                |","Jun 18, 2015"
Ernesto Diezmartinez,Cine Vértigo,"A great popcorn movie, much better than the forgettable third entry on the series. [full review in Spanish]",|,"Jun 18, 2015"
Daniel Barnes,Sacramento News & Review,"Jurassic World offers one-dimensional characters, misused actors, nonsensical motivations, retrograde gender politics, insipid pseudo-science and a whole lot of fun.","| Original Score: 3.5/5
                
                |","Jun 18, 2015"
Steve Persall,Tampa Bay Times,"Flashes of Harrison Ford's rakish charm aside, Pratt often presents himself like a toy action figure with fewer hinged joints and one expression, stiffly posed with heavy artillery.","| Original Score: B+
                
                |","Jun 18, 2015"
Tom Glasson,Concrete Playground,"Sadly, Jurassic World's magnificent dinosaurs just aren't enough to overcome the logic failings of a surprisingly recycled plot.","| Original Score: 3/5
                
                |","Jun 17, 2015"
CJ Johnson,Film Mafia,"Its as Hollywood as it comes, when Hollywood's having a good day.","| Original Score: 3/5
                
                |","Jun 16, 2015"
Ron Wilkinson,Monsters and Critics,"The reigning king of special effects lacks the clever acting of the original, but triples the action in 3-D IMAX.","| Original Score: 9/10
                
                |","Jun 16, 2015"
Ken Hanke,"Mountain Xpress (Asheville, NC)","Better written, better directed and better acted than any film about rampaging dinosaurs has any right to be.","| Original Score: 4/5
                
                |","Jun 16, 2015"
Kit Bowen,The Movie Kit,Jurassic World just proves people still love them some dinos and what's not to love? The dinosaurs are better than ever...,|,"Jun 16, 2015"
Christy Lemire,ChristyLemire.com,"So basically, Jurassic World is a big-budget indictment of corporate greed, jammed with product placement for Samsung and Mercedes-Benz and Beats by Dre and Coca-Cola.","| Original Score: 2/4
                
                |","Jun 16, 2015"
Andrea Chase,Killer Movie Reviews,There's a problem when the most complex character in a film is the dinosaur,"| Original Score: 3/5
                
                |","Jun 15, 2015"
James Kendrick,Q Network Film Desk,not so much another bloated sequel as it is the fruition of dreams deferred in the previous films. Too bad the genre dictates that those dreams are once again destined for disaster.,"| Original Score: 3/4
                
                |","Jun 15, 2015"
Felix Vasquez Jr.,Cinema Crazed,A perfectly fine movie and entertaining enough to keep you watching until the closing credits.,|,"Jun 15, 2015"
Robert Roten,Laramie Movie Scope,"This fourth installment of the Jurassic Park film series shows some wear and tear, but there is still some gas left in the tank. Time is spent to set up the next film in the series. They will keep making more of these until we stop watching.","| Original Score: C+
                
                |","Jun 15, 2015"
Matt Patches,Esquire Magazine,An angry movie with a tragic moral ... meta-adoration and criticism ends with a genetically modified dinosaur fighting off waves of dinosaurs.,"| Original Score: 1.7/5
                
                |","Jun 15, 2015"
Rebecca Cusey,The Federalist,"""Jurassic World,"" like its predecessors, fills up the screen with roaring, slathering, earth-shaking dinosaurs, then fills in mere humans around the edges. It's a formula that works as well in 2015 as it did in 1993.",|,"Jun 15, 2015"
Jason Best,Movie Talk,"Pratt is shaping up as the go-to-guy when Hollywood needs someone equally handy with a quip, a firearm and a vintage motorcycle... Howard's [is] an even more impressive feat given that she has to sprint away from a rapacious dinosaur in high heels.","| Original Score: 4/5
                
                |","Jun 15, 2015"
Kam Williams,Baret News,"Not quite a Spielberg-quality blockbuster, but it'll do.","| Original Score: 3/4
                
                |","Jun 15, 2015"
Anthony Lane,New Yorker,"There is plenty here to divert, but little to leave you enraptored. Such is the fate of the sequel: Bigger. Louder. Fewer teeth.",|,"Jun 15, 2015"
Henry Fitzherbert,Daily Express (UK),"It combines first class effects, a genetically engineered deadly dinosaur, outstanding action, well defined characters and a screenplay that refreshes themes of corporate greed and playing God.","| Original Score: 5/5
                
                |","Jun 15, 2015"
Mark Kermode,Observer (UK),"While the 3D beasts are undeniably impressive, their human counterparts remain resolutely two-dimensional thanks to a script that mistakes tone-deaf jumps and starts for emotional arcs.","| Original Score: 3/5
                
                |","Jun 14, 2015"
Daniel M. Kimmel,North Shore Movies,"The plotting and characterization is about an inch deep, but it does raise some interesting points along the way to its mega-dinosaur smackdown finale.","| Original Score: 3.5/5
                
                |","Jun 14, 2015"
Adam Fendelman,HollywoodChicago.com,"""Jurassic World"" doesn't buck blockbuster trends. Rather, it cleverly plays into them. More than a visual feast to marvel at, its new Indominus villain leaves us with a human lesson to heed: there's a price to pay for overmeddling with nature.","| Original Score: 4.0/5.0
                
                |","Jun 14, 2015"
Pete Hammond,Deadline Hollywood Daily,"Dino-mite special effects take this sequel to new heights. Returning to the spirit of the original and ignoring the previous two editions, Jurassic World is just pure people-chomping fun.","| Original Score: 4/5
                
                |","Jun 14, 2015"
Scott Nash,Three Movie Buffs,"Generic summer popcorn fare that entertains, but offers no surprises.","| Original Score: 3/4
                
                |","Jun 14, 2015"
Ed Whitfield,The Ooh Tray,"The new movie trades on the memory of the old with great efficiency, going so far as to recreate that sense of emptiness and anti-climax felt by Spielberg fans when the original was over.",|,"Jun 13, 2015"
Christopher Orr,The Atlantic,"If you limit your expectations for Jurassic World to ""more teeth,"" it will deliver on that promise. If you dare to hope for anything more-relatable characters, narrative coherence-you'll only set yourself up for disappointment.",|,"Jun 13, 2015"
Glenn Lovell,CinemaDope,... feels like the first three installments mashed into one ... That sense of wonder (aka 'wow factor') that distinguished the original has been replaced by gigantism and 'Godzilla'-like mayhem.,"| Original Score: 2/4
                
                |","Jun 13, 2015"
Eric Melin,Lawrence.com,"Commentary on how audiences always want ""bigger"" over ""better"" is not enough. It's window dressing. You still have little kids in danger of being eaten by dinosaurs run amok and a guy who thinks he's the Dinosaur Whisperer.","| Original Score: 1.5/4
                
                |","Jun 13, 2015"
Matt Brunson,Creative Loafing,"By the time the story hits some unlikely Kumbaya notes, we fully expect Barney (of purple reign fame) to appear on the scene and lead humans and dinosaurs alike in a campfire sing-along.","| Original Score: 2.5/4
                
                |","Jun 13, 2015"
Kevin A. Ranson,MovieCrypt.com,Underdeveloped characters and a meandering middle act culminates into the ending we want to see...and that doesn't disappoint.,"| Original Score: 3.0/4.0
                
                |","Jun 13, 2015"
Jeffrey M. Anderson,San Francisco Examiner,"A brisk, bright summer rollercoaster ride and fine popcorn muncher.","| Original Score: 3/4
                
                |","Jun 13, 2015"
Susan Granger,SSG Syndicate,A reinvigorated thrill ride...filled with marauding digital dinosaurs and swooping pterodactyls.,"| Original Score: 8/10
                
                |","Jun 13, 2015"
Avi Offer,NYC Movie Guru,"Shallow, overlong, unimaginative and lackluster. It's yet another disappointing Hollywood blockbuster.","| Original Score: 4.2/10
                
                |","Jun 12, 2015"
Rob Vaux,Sci-Fi Movie Page,"I'd call it the best of the Jurassic films after the original, and considering that they're virtually interchangeable, that distinctiveness takes some doing.","| Original Score: 3/5
                
                |","Jun 12, 2015"
