display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Wesley Morris,Boston Globe,"The desert colors pop. The songs are catchy. The lip-synching, meanwhile, is always a little off, and the dancing is usually average at best. That homemade quality is part of the movie's charm.","| Original Score: 2.5/4
                
                |","Sep 9, 2010"
Noel Murray,AV Club,"Director Rachel Perkins aims for broad comedy in the familiar Australian style -- in the manner of Muriel's Wedding and Strictly Ballroom -- but she often overshoots, and slapstick overwhelms the movie's satire of the infinite varieties of piety.",|,"Sep 9, 2010"
Aaron Hillis,L.A. Weekly,"The choreography is sloppy and lifeless; the outmoded blend of vintage rock, country and Broadway styles doesn't click; and the characters are such caricatures that it's no wonder the entire cast is overacting.",|,"Sep 9, 2010"
Michael C. Walsh,Boston Phoenix,Bran Nue Dae isn't just hurting in the spelling department -- it's also lacking the feel-good story that musicals rely on to support their ethos in the absurdist environment of spontaneous song and dance.,"| Original Score: 1.5/4
                
                |","Sep 9, 2010"
Roger Ebert,Chicago Sun-Times,"The two leads are sweet and attractive, their roles don't place great demands, and the movie skips along happily, if a little disorganzed.","| Original Score: 2.5/4
                
                |","Sep 9, 2010"
David Fear,Time Out,The movie will make you tap your toes; don't expect much for your head or your heartstrings.,"| Original Score: 3/5
                
                |","Sep 9, 2010"
Harvey S. Karten,Compuserve,"Don't expect a sophisticated Broadway musical, but this Australian piece gains its melodious charm by its simplicity.","| Original Score: B
                
                |","Jul 21, 2010"
Matthew Pejkovic,Matt's Movie Reviews,"All roads lead to the same destination in the soulfully rich, toe tapping Aussie musical, Bran Nue Dae.","| Original Score: 3.5/5
                
                |","Jul 17, 2010"
Amber Wilkinson,Eye for Film,"On stage, energetic performances can overcome slight characterisation and shallow plotting but onscreen, the wafer-thin characters and lack of plot thrust are exposed.","| Original Score: 2.5/5
                
                |","Mar 7, 2010"
Giles Hardie,Sydney Morning Herald,"If you dare to like happy films, this Bran Nue Dae is just for you.","| Original Score: 4/5
                
                |","Jan 30, 2010"
Lynden Barber,The Australian,"The next time someone tells you that ""all Australian films are depressing"", point them in Bran Nue Dae's direction.","| Original Score: 4/5
                
                |","Jan 17, 2010"
Craig Mathieson,sbs.com.au,"Like another Australian musical by a then young director, Gillian Armstrong's Starstruck from 1982, Bran Nue Dae carries the day with energy and self-belief.","| Original Score: 3/5
                
                |","Jan 14, 2010"
Jake Wilson,The Age (Australia),"The strength of [Perkins'] filmmaking lies in a chaste yet sensual feeling for actors and landscapes, expressed most strongly and frequently in close-ups that dwell on skin textures in the sun.","| Original Score: 3/5
                
                |","Jan 13, 2010"
Sandra Hall,Sydney Morning Herald,"The script does, however, profit from the love affair that springs up between Andrew Lesnie's cameras and the blue and ochre of the northern Australian landscape. And the show's basic attractions remain.","| Original Score: 3/5
                
                |","Jan 13, 2010"
Liz Graham,FILMINK (Australia),"The film ends on a high note, but you know that this could have, and should have, been a lot better.",|,"Jan 13, 2010"
Leigh Paatsch,Herald Sun (Australia),"As it is, the film only barely scrapes by as a crowd-pleaser. Unfortunately, a majority of the songs that break up the slender narrative are not that memorable.","| Original Score: 2.5/5
                
                |","Jan 13, 2010"
Ben McEachen,Sunday Times (Australia),The absurd pandemonium of the finale's confessions stretches to breaking point but befits a unique musical oddball that will prove strangely affecting to those swept up in it.,"| Original Score: 3.5/5
                
                |","Jan 13, 2010"
Colin Newton,Sunday Mail (Australia),"Bran Nue Dae, much like the Bible, wraps up with a good many revelations, and offers the viewer a fun, upbeat and feel-good movie-going experience. Hallelujah!","| Original Score: 4/5
                
                |","Jan 13, 2010"
Des Partridge,Courier Mail (Australia),"You should leave your cinema seat wearing a broad smile after this fun-filled experience, officially the first Aussiewood musical.","| Original Score: 4/5
                
                |","Jan 13, 2010"
Thomas Caldwell,Cinema Autopsy,"The over-the-top performances would usually be suitable for this style of musical romp but the story, songs and dance numbers are not strong enough to sustain such hammy performances.","| Original Score: 2/5
                
                |","Jan 12, 2010"
Rod Yates,Empire Magazine Australasia,"A refreshing entry into the recent canon of Australian films, Bran Nue Dae recalls the innocent, playful tone of classics such as Muriel's Wedding and The Castle and, as such, deserves to be the summer smash of 2010.","| Original Score: 4/5
                
                |","Jan 11, 2010"
Andrew L. Urban,Urban Cinefile,"Gloriously irreverent, musically inventive and effortlessly entertaining, Bran Nue Dae delivers on its promise to bring the highly acclaimed stage musical to the screen.",|,"Jan 9, 2010"
Louise Keller,Urban Cinefile,"The film has some great ideas and although it doesn't always zing, there is more than enough bottled sunshine to make us smile.",|,"Jan 9, 2010"
